STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,
CPU type:,Intel Core Broadwell processor,
CPU clock:,2.194960228 GHz,
TABLE,Region GeracaoSistemaLinear,Group 1 Raw,L3,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.011260,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,50602950
CPU_CLK_UNHALTED_CORE,FIXC1,23374300
CPU_CLK_UNHALTED_REF,FIXC2,24487370
L2_LINES_IN_ALL,PMC0,23884
L2_TRANS_L2_WB,PMC1,733
TABLE,Region GeracaoSistemaLinear,Group 1 Metric,L3,10
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0113,
Runtime unhalted [s],0.0106,
Clock [MHz],2095.1886,
CPI,0.4619,
L3 load bandwidth [MBytes/s],135.7558,
L3 load data volume [GBytes],0.0015,
L3 evict bandwidth [MBytes/s],4.1663,
L3 evict data volume [GBytes],4.691200e-05,
L3 bandwidth [MBytes/s],139.9221,
L3 data volume [GBytes],0.0016,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,
CPU type:,Intel Core Broadwell processor,
CPU clock:,2.194960228 GHz,
TABLE,Region SolucaoSistemaLinear,Group 1 Raw,L3,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.000004,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,16164
CPU_CLK_UNHALTED_CORE,FIXC1,14537
CPU_CLK_UNHALTED_REF,FIXC2,15224
L2_LINES_IN_ALL,PMC0,590
L2_TRANS_L2_WB,PMC1,26
TABLE,Region SolucaoSistemaLinear,Group 1 Metric,L3,10
Metric,HWThread 3,
Runtime (RDTSC) [s],3.746780e-06,
Runtime unhalted [s],6.622899e-06,
Clock [MHz],2095.9102,
CPI,0.8993,
L3 load bandwidth [MBytes/s],10077.9870,
L3 load data volume [GBytes],3.776000e-05,
L3 evict bandwidth [MBytes/s],444.1147,
L3 evict data volume [GBytes],1.664000e-06,
L3 bandwidth [MBytes/s],10522.1016,
L3 data volume [GBytes],3.942400e-05,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,
CPU type:,Intel Core Broadwell processor,
CPU clock:,2.194960228 GHz,
TABLE,Region CalculoResiduos,Group 1 Raw,L3,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.003402,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,15075840
CPU_CLK_UNHALTED_CORE,FIXC1,7041837
CPU_CLK_UNHALTED_REF,FIXC2,7377106
L2_LINES_IN_ALL,PMC0,4631
L2_TRANS_L2_WB,PMC1,304
TABLE,Region CalculoResiduos,Group 1 Metric,L3,10
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0034,
Runtime unhalted [s],0.0032,
Clock [MHz],2095.2054,
CPI,0.4671,
L3 load bandwidth [MBytes/s],87.1231,
L3 load data volume [GBytes],0.0003,
L3 evict bandwidth [MBytes/s],5.7192,
L3 evict data volume [GBytes],1.945600e-05,
L3 bandwidth [MBytes/s],92.8422,
L3 data volume [GBytes],0.0003,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,
CPU type:,Intel Core Broadwell processor,
CPU clock:,2.194960228 GHz,
TABLE,Region GeracaoSistemaLinearOtim,Group 1 Raw,L3,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.011047,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,49180780
CPU_CLK_UNHALTED_CORE,FIXC1,23115950
CPU_CLK_UNHALTED_REF,FIXC2,24216700
L2_LINES_IN_ALL,PMC0,21996
L2_TRANS_L2_WB,PMC1,364
