STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,
CPU type:,Intel Core Broadwell processor,
CPU clock:,2.194671115 GHz,
TABLE,Region GeracaoSistemaLinear,Group 1 Raw,L3,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.000967,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,4322637
CPU_CLK_UNHALTED_CORE,FIXC1,2011030
CPU_CLK_UNHALTED_REF,FIXC2,2106830
L2_LINES_IN_ALL,PMC0,1570
L2_TRANS_L2_WB,PMC1,76
TABLE,Region GeracaoSistemaLinear,Group 1 Metric,L3,10
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0010,
Runtime unhalted [s],0.0009,
Clock [MHz],2094.8769,
CPI,0.4652,
L3 load bandwidth [MBytes/s],103.9367,
L3 load data volume [GBytes],0.0001,
L3 evict bandwidth [MBytes/s],5.0313,
L3 evict data volume [GBytes],4.864000e-06,
L3 bandwidth [MBytes/s],108.9681,
L3 data volume [GBytes],0.0001,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,
CPU type:,Intel Core Broadwell processor,
CPU clock:,2.194671115 GHz,
TABLE,Region SolucaoSistemaLinear,Group 1 Raw,L3,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.000004,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,16164
CPU_CLK_UNHALTED_CORE,FIXC1,14348
CPU_CLK_UNHALTED_REF,FIXC2,15048
L2_LINES_IN_ALL,PMC0,568
L2_TRANS_L2_WB,PMC1,24
TABLE,Region SolucaoSistemaLinear,Group 1 Metric,L3,10
Metric,HWThread 3,
Runtime (RDTSC) [s],3.668397e-06,
Runtime unhalted [s],6.537654e-06,
Clock [MHz],2092.5798,
CPI,0.8877,
L3 load bandwidth [MBytes/s],9909.5054,
L3 load data volume [GBytes],3.635200e-05,
L3 evict bandwidth [MBytes/s],418.7115,
L3 evict data volume [GBytes],1.536000e-06,
L3 bandwidth [MBytes/s],10328.2169,
L3 data volume [GBytes],3.788800e-05,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,
CPU type:,Intel Core Broadwell processor,
CPU clock:,2.194671115 GHz,
TABLE,Region CalculoResiduos,Group 1 Raw,L3,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.000289,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,1289959
CPU_CLK_UNHALTED_CORE,FIXC1,607374
CPU_CLK_UNHALTED_REF,FIXC2,636262
L2_LINES_IN_ALL,PMC0,1221
L2_TRANS_L2_WB,PMC1,74
TABLE,Region CalculoResiduos,Group 1 Metric,L3,10
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0003,
Runtime unhalted [s],0.0003,
Clock [MHz],2095.0272,
CPI,0.4708,
L3 load bandwidth [MBytes/s],270.6729,
L3 load data volume [GBytes],0.0001,
L3 evict bandwidth [MBytes/s],16.4044,
L3 evict data volume [GBytes],4.736000e-06,
L3 bandwidth [MBytes/s],287.0773,
L3 data volume [GBytes],0.0001,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,
CPU type:,Intel Core Broadwell processor,
CPU clock:,2.194671115 GHz,
TABLE,Region GeracaoSistemaLinearOtim,Group 1 Raw,L3,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.000957,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,4201122
CPU_CLK_UNHALTED_CORE,FIXC1,1990493
CPU_CLK_UNHALTED_REF,FIXC2,2085182
L2_LINES_IN_ALL,PMC0,1599
L2_TRANS_L2_WB,PMC1,97
