STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,
CPU type:,Intel Core Broadwell processor,
CPU clock:,2.194928699 GHz,
TABLE,Region GeracaoSistemaLinear,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.187762,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,860344900
CPU_CLK_UNHALTED_CORE,FIXC1,474465800
CPU_CLK_UNHALTED_REF,FIXC2,399746900
L2_TRANS_ALL_REQUESTS,PMC0,2145638
L2_RQSTS_MISS,PMC1,711280
TABLE,Region GeracaoSistemaLinear,Group 1 Metric,L2CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],0.1878,
Runtime unhalted [s],0.2162,
Clock [MHz],2605.1949,
CPI,0.5515,
L2 request rate,0.0025,
L2 miss rate,0.0008,
L2 miss ratio,0.3315,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,
CPU type:,Intel Core Broadwell processor,
CPU clock:,2.194928699 GHz,
TABLE,Region SolucaoSistemaLinear,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.000007,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,16099
CPU_CLK_UNHALTED_CORE,FIXC1,33511
CPU_CLK_UNHALTED_REF,FIXC2,27390
L2_TRANS_ALL_REQUESTS,PMC0,3431
L2_RQSTS_MISS,PMC1,1138
TABLE,Region SolucaoSistemaLinear,Group 1 Metric,L2CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],7.339645e-06,
Runtime unhalted [s],1.526747e-05,
Clock [MHz],2685.4420,
CPI,2.0816,
L2 request rate,0.2131,
L2 miss rate,0.0707,
L2 miss ratio,0.3317,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,
CPU type:,Intel Core Broadwell processor,
CPU clock:,2.194928699 GHz,
TABLE,Region CalculoResiduos,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.049661,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,237766400
CPU_CLK_UNHALTED_CORE,FIXC1,123919500
CPU_CLK_UNHALTED_REF,FIXC2,105414900
L2_TRANS_ALL_REQUESTS,PMC0,401372
L2_RQSTS_MISS,PMC1,131532
TABLE,Region CalculoResiduos,Group 1 Metric,L2CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0497,
Runtime unhalted [s],0.0565,
Clock [MHz],2580.2279,
CPI,0.5212,
L2 request rate,0.0017,
L2 miss rate,0.0006,
L2 miss ratio,0.3277,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,
CPU type:,Intel Core Broadwell processor,
CPU clock:,2.194928699 GHz,
TABLE,Region GeracaoSistemaLinearOtim,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.170912,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,787024400
CPU_CLK_UNHALTED_CORE,FIXC1,432333300
CPU_CLK_UNHALTED_REF,FIXC2,364583100
L2_TRANS_ALL_REQUESTS,PMC0,2019659
L2_RQSTS_MISS,PMC1,667426
TABLE,Region GeracaoSistemaLinearOtim,Group 1 Metric,L2CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],0.1709,
Runtime unhalted [s],0.1970,
Clock [MHz],2602.8106,
CPI,0.5493,
L2 request rate,0.0026,
L2 miss rate,0.0008,
L2 miss ratio,0.3305,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,
CPU type:,Intel Core Broadwell processor,
CPU clock:,2.194928699 GHz,
TABLE,Region SolucaoSistemaLinearOtim,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.000003,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,14883
CPU_CLK_UNHALTED_CORE,FIXC1,16338
CPU_CLK_UNHALTED_REF,FIXC2,13332
L2_TRANS_ALL_REQUESTS,PMC0,2301
L2_RQSTS_MISS,PMC1,745
TABLE,Region SolucaoSistemaLinearOtim,Group 1 Metric,L2CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],3.088938e-06,
Runtime unhalted [s],7.443522e-06,
Clock [MHz],2689.8249,
CPI,1.0978,
L2 request rate,0.1546,
L2 miss rate,0.0501,
L2 miss ratio,0.3238,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,
CPU type:,Intel Core Broadwell processor,
CPU clock:,2.194928699 GHz,
TABLE,Region CalculoResiduosOtim,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.059462,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,260687000
CPU_CLK_UNHALTED_CORE,FIXC1,149031800
CPU_CLK_UNHALTED_REF,FIXC2,124962500
L2_TRANS_ALL_REQUESTS,PMC0,471013
L2_RQSTS_MISS,PMC1,154051
TABLE,Region CalculoResiduosOtim,Group 1 Metric,L2CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0595,
Runtime unhalted [s],0.0679,
Clock [MHz],2617.6987,
CPI,0.5717,
L2 request rate,0.0018,
L2 miss rate,0.0006,
L2 miss ratio,0.3271,
