STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,
CPU type:,Intel Core Broadwell processor,
CPU clock:,2.194926617 GHz,
TABLE,Region GeracaoSistemaLinear,Group 1 Raw,L3,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.000143,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,544655
CPU_CLK_UNHALTED_CORE,FIXC1,272285
CPU_CLK_UNHALTED_REF,FIXC2,285274
L2_LINES_IN_ALL,PMC0,1411
L2_TRANS_L2_WB,PMC1,42
TABLE,Region GeracaoSistemaLinear,Group 1 Metric,L3,10
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0001,
Runtime unhalted [s],0.0001,
Clock [MHz],2094.9880,
CPI,0.4999,
L3 load bandwidth [MBytes/s],633.2426,
L3 load data volume [GBytes],0.0001,
L3 evict bandwidth [MBytes/s],18.8492,
L3 evict data volume [GBytes],2.688000e-06,
L3 bandwidth [MBytes/s],652.0917,
L3 data volume [GBytes],0.0001,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,
CPU type:,Intel Core Broadwell processor,
CPU clock:,2.194926617 GHz,
TABLE,Region SolucaoSistemaLinear,Group 1 Raw,L3,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.000004,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,16164
CPU_CLK_UNHALTED_CORE,FIXC1,14259
CPU_CLK_UNHALTED_REF,FIXC2,14916
L2_LINES_IN_ALL,PMC0,632
L2_TRANS_L2_WB,PMC1,17
TABLE,Region SolucaoSistemaLinear,Group 1 Metric,L3,10
Metric,HWThread 3,
Runtime (RDTSC) [s],3.661182e-06,
Runtime unhalted [s],6.496345e-06,
Clock [MHz],2098.2474,
CPI,0.8821,
L3 load bandwidth [MBytes/s],11047.7982,
L3 load data volume [GBytes],4.044800e-05,
L3 evict bandwidth [MBytes/s],297.1718,
L3 evict data volume [GBytes],1.088000e-06,
L3 bandwidth [MBytes/s],11344.9700,
L3 data volume [GBytes],4.153600e-05,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,
CPU type:,Intel Core Broadwell processor,
CPU clock:,2.194926617 GHz,
TABLE,Region CalculoResiduos,Group 1 Raw,L3,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.000037,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,164582
CPU_CLK_UNHALTED_CORE,FIXC1,83916
CPU_CLK_UNHALTED_REF,FIXC2,87890
L2_LINES_IN_ALL,PMC0,847
L2_TRANS_L2_WB,PMC1,36
TABLE,Region CalculoResiduos,Group 1 Metric,L3,10
Metric,HWThread 3,
Runtime (RDTSC) [s],3.687789e-05,
Runtime unhalted [s],3.823180e-05,
Clock [MHz],2095.6817,
CPI,0.5099,
L3 load bandwidth [MBytes/s],1469.9323,
L3 load data volume [GBytes],0.0001,
L3 evict bandwidth [MBytes/s],62.4765,
L3 evict data volume [GBytes],2.304000e-06,
L3 bandwidth [MBytes/s],1532.4087,
L3 data volume [GBytes],0.0001,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,
CPU type:,Intel Core Broadwell processor,
CPU clock:,2.194926617 GHz,
TABLE,Region GeracaoSistemaLinearOtim,Group 1 Raw,L3,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.000120,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,529313
CPU_CLK_UNHALTED_CORE,FIXC1,257343
CPU_CLK_UNHALTED_REF,FIXC2,269610
L2_LINES_IN_ALL,PMC0,833
L2_TRANS_L2_WB,PMC1,40
