STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,
CPU type:,Intel Core Broadwell processor,
CPU clock:,2.194968849 GHz,
TABLE,Region GeracaoSistemaLinear,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.001529,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,6751343
CPU_CLK_UNHALTED_CORE,FIXC1,3133762
CPU_CLK_UNHALTED_REF,FIXC2,3282994
L2_TRANS_ALL_REQUESTS,PMC0,12335
L2_RQSTS_MISS,PMC1,2765
TABLE,Region GeracaoSistemaLinear,Group 1 Metric,L2CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0015,
Runtime unhalted [s],0.0014,
Clock [MHz],2095.1942,
CPI,0.4642,
L2 request rate,0.0018,
L2 miss rate,0.0004,
L2 miss ratio,0.2242,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,
CPU type:,Intel Core Broadwell processor,
CPU clock:,2.194968849 GHz,
TABLE,Region SolucaoSistemaLinear,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.000004,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,16099
CPU_CLK_UNHALTED_CORE,FIXC1,13171
CPU_CLK_UNHALTED_REF,FIXC2,13750
L2_TRANS_ALL_REQUESTS,PMC0,1915
L2_RQSTS_MISS,PMC1,529
TABLE,Region SolucaoSistemaLinear,Group 1 Metric,L2CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],3.750398e-06,
Runtime unhalted [s],6.000541e-06,
Clock [MHz],2102.5407,
CPI,0.8181,
L2 request rate,0.1190,
L2 miss rate,0.0329,
L2 miss ratio,0.2762,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,
CPU type:,Intel Core Broadwell processor,
CPU clock:,2.194968849 GHz,
TABLE,Region CalculoResiduos,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.000452,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,2013401
CPU_CLK_UNHALTED_CORE,FIXC1,944945
CPU_CLK_UNHALTED_REF,FIXC2,989912
L2_TRANS_ALL_REQUESTS,PMC0,4668
L2_RQSTS_MISS,PMC1,1398
TABLE,Region CalculoResiduos,Group 1 Metric,L2CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0005,
Runtime unhalted [s],0.0004,
Clock [MHz],2095.2618,
CPI,0.4693,
L2 request rate,0.0023,
L2 miss rate,0.0007,
L2 miss ratio,0.2995,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,
CPU type:,Intel Core Broadwell processor,
CPU clock:,2.194968849 GHz,
TABLE,Region GeracaoSistemaLinearOtim,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.001479,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,6561569
CPU_CLK_UNHALTED_CORE,FIXC1,3105369
CPU_CLK_UNHALTED_REF,FIXC2,3253316
L2_TRANS_ALL_REQUESTS,PMC0,8619
L2_RQSTS_MISS,PMC1,1430
TABLE,Region GeracaoSistemaLinearOtim,Group 1 Metric,L2CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0015,
Runtime unhalted [s],0.0014,
Clock [MHz],2095.1510,
CPI,0.4733,
L2 request rate,0.0013,
L2 miss rate,0.0002,
L2 miss ratio,0.1659,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,
CPU type:,Intel Core Broadwell processor,
CPU clock:,2.194968849 GHz,
TABLE,Region SolucaoSistemaLinearOtim,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.000004,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,14883
CPU_CLK_UNHALTED_CORE,FIXC1,13339
CPU_CLK_UNHALTED_REF,FIXC2,13970
L2_TRANS_ALL_REQUESTS,PMC0,2156
L2_RQSTS_MISS,PMC1,620
TABLE,Region SolucaoSistemaLinearOtim,Group 1 Metric,L2CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],3.613721e-06,
Runtime unhalted [s],6.077079e-06,
Clock [MHz],2095.8260,
CPI,0.8963,
L2 request rate,0.1449,
L2 miss rate,0.0417,
L2 miss ratio,0.2876,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,
CPU type:,Intel Core Broadwell processor,
CPU clock:,2.194968849 GHz,
TABLE,Region CalculoResiduosOtim,Group 1 Raw,L2CACHE,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.000452,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,2013490
CPU_CLK_UNHALTED_CORE,FIXC1,945519
CPU_CLK_UNHALTED_REF,FIXC2,990550
L2_TRANS_ALL_REQUESTS,PMC0,4886
L2_RQSTS_MISS,PMC1,1553
TABLE,Region CalculoResiduosOtim,Group 1 Metric,L2CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0005,
Runtime unhalted [s],0.0004,
Clock [MHz],2095.1842,
CPI,0.4696,
L2 request rate,0.0024,
L2 miss rate,0.0008,
L2 miss ratio,0.3178,
