64, 0.3158, 0.3124, 0.3066, 0.3143, 0.3026, 0.3307
128, 0.3142, 0.2829, 0.2965, 0.3091, 0.3095, 0.2985
200, 0.2986, 0.3443, 0.3233, 0.2848, 0.3035, 0.3379
256, 0.2250, 0.2801, 0.2997, 0.2829, 0.3499, 0.3358
512, 0.2752, 0.2751, 0.3306, 0.2960, 0.3560, 0.3093
600, 0.2674, 0.2907, 0.3052, 0.2309, 0.2506, 0.3063
800, 0.2163, 0.2832, 0.3069, 0.1840, 0.2854, 0.3073
1024, 0.1669, 0.2919, 0.3125, 0.1527, 0.2916, 0.3264
2000, 0.2696, 0.2855, 0.3140, 0.1436, 0.3266, 0.3148
3000, 0.2313, 0.3129, 0.3230, 0.2626, 0.3251, 0.2933
4096, 0.2862, 0.2984, 0.3251, 0.2723, 0.3219, 0.3060
6000, 0.2962, 0.3169, 0.3328, 0.2820, 0.3400, 0.3350
7000, 0.3067, 0.3748, 0.3076, 0.3072, 0.3875, 0.3046
10000, 0.3267, 0.3643, 0.3378, 0.3339, 0.3473, 0.3307
50000, 0.3315, 0.3317, 0.3277, 0.3305, 0.3238, 0.3271
100000, 0.3320, 0.3162, 0.3357, 0.3302, 0.3431, 0.3267
