64, 540.4581, 30203.2345, 2812.8994, 623.1274, 12265.7365, 3321.2935
128, 434.3514, 14875.5502, 1069.9025, 309.0955, 14823.8046, 1114.1879
200, 310.1045, 12479.8518, 721.1197, 218.9153, 15182.9379, 680.1373
256, 430.7961, 10956.0136, 627.6921, 188.5639, 17348.7360, 671.5425
512, 296.5526, 12266.7732, 488.9255, 209.2200, 32418.8768, 351.4183
600, 207.3494, 14922.3612, 330.0203, 290.1113, 14883.3521, 249.0921
800, 187.7312, 14630.0001, 307.0066, 230.5300, 32840.1374, 472.6724
1024, 232.8276, 17422.3249, 229.8729, 433.4929, 13106.6468, 483.5097
2000, 184.2390, 25534.8591, 1011.2778, 182.9819, 13775.4885, 258.0458
3000, 221.5531, 10550.6723, 254.6829, 141.8248, 15475.4018, 222.2708
4096, 213.2808, 12806.5222, 156.7482, 192.7436, 16195.8232, 320.7194
6000, 272.0473, 12525.9232, 240.4520, 269.4780, 15423.1819, 181.9170
7000, 228.2565, 12796.6589, 198.6607, 279.8910, 14805.1569, 200.9914
10000, 269.3988, 12676.0987, 191.1364, 249.5833, 12363.8766, 407.5285
50000, 262.1982, 12116.4058, 179.7156, 246.1495, 16706.3152, 176.0703
100000, 244.9193, 11931.7843, 173.8388, 254.4857, 14970.8497, 163.2078
