64, 1180.3802, 0, 315.2602, 0, 1109.2726, 0, 1278.7266, 0, 92.1408, 0, 1193.7047, 0
128, 1182.3088, 0, 292.0687, 0, 711.3923, 0, 1384.8330, 0, 97.0438, 0, 1281.6266, 0
200, 1098.3273, 0, 357.4468, 0, 1299.2172, 0, 1396.0949, 0, 97.4594, 0, 1307.4373, 0
256, 1452.4667, 0, 352.4645, 0, 1304.7101, 0, 1398.4373, 0, 83.8557, 0, 515.3951, 0
512, 1324.2824, 0, 342.5535, 0, 959.4074, 0, 1379.9382, 0, 85.4532, 0, 702.6991, 0
600, 1305.1428, 0, 355.1549, 0, 904.3768, 0, 1402.0518, 0, 98.1599, 0, 1014.2023, 0
800, 1362.1234, 0, 333.4702, 0, 1033.3151, 0, 1211.2705, 0, 92.4735, 0, 1195.0715, 0
1024, 1492.5281, 0, 320.9129, 0, 1092.8781, 0, 1265.2562, 0, 86.5847, 0, 1155.9733, 0
2000, 1415.3463, 0, 360.2691, 0, 1623.8071, 0, 3246.7825, 0, 41.0156, 0, 1216.3901, 0
3000, 1345.0019, 0, 331.0507, 0, 1351.0562, 0, 1222.4198, 0, 93.8434, 0, 1327.4338, 0
4096, 1082.9213, 0, 317.3237, 0, 1274.2108, 0, 1027.8112, 0, 80.4632, 0, 1070.4949, 0
6000, 976.9826, 0, 319.1962, 0, 897.1358, 0, 791.0512, 0, 49.2175, 0, 740.1091, 0
7000, 1273.7689, 0, 267.8893, 0, 797.2967, 0, 1141.5084, 0, 67.1230, 0, 1126.1186, 0
10000, 1456.1571, 0, 250.7138, 0, 4315.0262, 0, 1500.0501, 0, 82.3282, 0, 1314.2682, 0
50000, 1019.7242, 0, 193.0804, 0, 789.3845, 0, 1005.5062, 0, 89.2505, 0, 1266.9817, 0
100000, 1287.9316, 0, 304.6108, 0, 862.9719, 0, 1014.5467, 0, 41.4751, 0, 853.8364, 0
