64,  3.99994851e-03,  1.41000033e-01,  3.60000134e-02,  3.00002099e-03,  1.34000063e-01,  3.60000134e-02
128,  4.00018693e-03,  2.58999825e-01,  7.09998608e-02,  3.00002099e-03,  2.36000062e-01,  7.20000268e-02
200,  3.99994851e-03,  4.12000180e-01,  1.21000052e-01,  3.00002099e-03,  3.68999959e-01,  1.11999989e-01
256,  5.00011445e-03,  6.05000020e-01,  2.53000021e-01,  6.99996949e-03,  7.63000012e-01,  3.06999922e-01
512,  3.99994851e-03,  9.73999978e-01,  2.88000107e-01,  3.99994851e-03,  9.76999999e-01,  2.88000107e-01
600,  3.99994851e-03,  1.12999988e+00,  3.71999980e-01,  3.99994851e-03,  1.18600011e+00,  4.06000138e-01
800,  3.00002099e-03,  1.59500003e+00,  4.56000090e-01,  3.00002099e-03,  1.47300005e+00,  4.50999976e-01
1024,  4.99987603e-03,  3.09700013e+00,  9.29999829e-01,  5.00011445e-03,  3.02600003e+00,  9.29999829e-01
2000,  3.00002099e-03,  3.85999990e+00,  1.13900018e+00,  3.00002099e-03,  3.67700005e+00,  1.14400006e+00
3000,  5.00011445e-03,  7.13800002e+00,  1.97700000e+00,  3.99994851e-03,  5.56099988e+00,  1.70099998e+00
4096,  5.99980355e-03,  7.90500021e+00,  2.54000021e+00,  3.00002099e-03,  7.87599993e+00,  2.33299995e+00
6000,  3.99994851e-03,  1.14640003e+01,  3.50799990e+00,  5.00011445e-03,  1.35049999e+01,  3.50699997e+00
7000,  3.99994851e-03,  1.33420001e+01,  4.04699994e+00,  3.99994851e-03,  1.50900002e+01,  4.06499982e+00
10000,  3.99994851e-03,  1.97950001e+01,  6.45799995e+00,  3.99994851e-03,  1.85180002e+01,  6.37899995e+00
50000,  4.99987603e-03,  9.52860001e+01,  2.83500002e+01,  3.99994851e-03,  9.21820002e+01,  2.83170000e+01
100000,  4.00018693e-03,  1.86632000e+02,  5.67029999e+01,  4.00018693e-03,  1.85715000e+02,  5.68599999e+01
1000000,  3.99994851e-03,  -1.31060999e+02,  5.68735001e+02,  3.99994851e-03,  -1.51877000e+02,  -4.28884999e+02
10000000,  5.00011445e-03,  -2.87355000e+02,  -3.11381000e+02,  5.00011445e-03,  4.92063000e+02,  -3.18791000e+02
